country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,total_consumption
Nicaragua,78,118,1,3.5,197
Jamaica,82,97,9,3.4,188
Laos,62,0,123,6.2,185
Liberia,19,152,2,3.1,173
Honduras,69,98,2,3,169
South Korea,140,16,9,9.8,165
United Arab Emirates,16,135,5,2.8,156
Cameroon,147,1,4,5.8,152
Mauritius,98,31,18,2.6,147
Samoa,105,18,24,2.6,147
Israel,63,69,9,2.5,141
Kyrgyzstan,31,97,6,2.4,134
Uzbekistan,25,101,8,2.4,134
Micronesia,62,50,18,2.3,130
Guatemala,53,69,2,2.2,124
Cambodia,57,65,1,2.2,123
El Salvador,52,69,2,2.2,123
India,9,114,0,2.2,123
Turkmenistan,19,71,32,2.2,122
Sri Lanka,16,104,0,2.2,120
Vietnam,111,2,1,2,114
Fiji,77,35,1,2,113
Bahrain,42,63,7,2,112
Lesotho,82,29,0,2.8,111
Lebanon,20,55,31,1.9,106
Swaziland,90,2,2,4.7,94
Burundi,88,0,0,6.3,88
Congo,76,1,9,1.7,86
Zimbabwe,64,18,4,4.7,86
Papua New Guinea,44,39,1,1.5,84
Singapore,60,12,11,1.5,83
Kenya,58,22,2,1.8,82
Guinea-Bissau,28,31,21,2.5,80
Turkey,51,22,7,1.4,80
Tunisia,51,3,20,1.3,74
Azerbaijan,21,46,5,1.3,72
Mozambique,47,18,5,1.3,70
Solomon Islands,56,11,1,1.2,68
Djibouti,15,44,3,1.1,62
Tonga,36,21,5,1.1,62
Nauru,49,0,8,1,57
Togo,36,2,19,1.3,57
Kiribati,21,34,1,1,56
Syria,5,35,16,1,56
Tuvalu,6,41,9,1,56
Zambia,32,19,4,2.5,55
Uganda,45,9,0,8.3,54
Benin,34,4,13,1.1,51
Qatar,1,42,7,0.9,50
Vanuatu,21,18,11,0.9,50
Nigeria,42,5,2,9.1,49
Cote d'Ivoire,37,1,7,4,45
Madagascar,26,15,4,0.8,45
Rwanda,43,2,0,6.8,45
Ghana,31,3,10,1.8,44
Tanzania,36,6,1,5.7,43
Algeria,25,0,14,0.7,39
Burkina Faso,25,7,7,4.3,39
Oman,22,16,1,0.7,39
DR Congo,32,3,1,2.3,36
Brunei,31,2,1,0.6,34
Sierra Leone,25,3,2,6.7,30
Jordan,6,21,1,0.5,28
Morocco,12,6,10,0.5,28
Bhutan,23,0,0,0.4,23
Ethiopia,20,3,0,0.7,23
Sudan,8,13,0,1.7,21
Central African Republic,17,2,1,1.8,20
Malawi,8,11,1,1.5,20
Eritrea,18,0,0,0.5,18
Chad,15,1,1,0.4,17
Malaysia,13,4,0,0.3,17
Senegal,9,1,7,0.3,17
Tajikistan,2,15,0,0.3,17
Iraq,9,3,0,0.2,12
Egypt,6,4,1,0.2,11
Guinea,9,0,2,0.2,11
Nepal,5,6,0,0.2,11
Gambia,8,0,1,2.4,9
Mali,5,1,1,0.6,7
Indonesia,5,1,0,0.1,6
Myanmar,5,1,0,0.1,6
Niger,3,2,1,0.1,6
Timor-Leste,1,1,4,0.1,6
Yemen,6,0,0,0.1,6
Comoros,1,3,1,0.1,5
Saudi Arabia,0,5,0,0.1,5
Afghanistan,0,0,0,0,0
Bangladesh,0,0,0,0,0
North Korea,0,0,0,0,0
Iran,0,0,0,0,0
Kuwait,0,0,0,0,0
Libya,0,0,0,0,0
Maldives,0,0,0,0,0
Marshall Islands,0,0,0,0,0
Mauritania,0,0,0,0,0
Monaco,0,0,0,0,0
Pakistan,0,0,0,0,0
San Marino,0,0,0,0,0
Somalia,0,0,0,0,0
